"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 02:47:01 UTC 2023","Sat Sep 09 02:47:15 UTC 2023","13938","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Sep 09 02:39:42 UTC 2023","Sat Sep 09 02:39:45 UTC 2023","3054","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Sep 09 02:38:40 UTC 2023","Sat Sep 09 02:38:41 UTC 2023","1388","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Sep 09 02:43:18 UTC 2023","Sat Sep 09 02:43:24 UTC 2023","6299","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Sep 09 03:20:12 UTC 2023","Sat Sep 09 03:20:56 UTC 2023","44727","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Sep 09 02:36:13 UTC 2023","Sat Sep 09 02:36:21 UTC 2023","8161","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Sep 09 02:26:18 UTC 2023","Sat Sep 09 02:26:19 UTC 2023","750","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Sep 09 03:54:53 UTC 2023","Sat Sep 09 03:54:56 UTC 2023","2296","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Sep 09 03:02:37 UTC 2023","Sat Sep 09 03:02:55 UTC 2023","17929","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Sep 09 04:05:55 UTC 2023","Sat Sep 09 04:06:10 UTC 2023","15084","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sat Sep 09 03:56:06 UTC 2023","Sat Sep 09 03:57:15 UTC 2023","69613","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Sep 09 02:17:28 UTC 2023","Sat Sep 09 02:17:39 UTC 2023","10535","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Sep 09 02:46:58 UTC 2023","Sat Sep 09 02:47:01 UTC 2023","3565","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Sep 09 02:19:42 UTC 2023","Sat Sep 09 02:19:48 UTC 2023","6414","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Sep 09 03:45:22 UTC 2023","Sat Sep 09 03:45:32 UTC 2023","9723","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Sep 09 03:45:32 UTC 2023","Sat Sep 09 03:45:34 UTC 2023","2453","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Sep 09 02:32:12 UTC 2023","Sat Sep 09 02:32:14 UTC 2023","2561","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Sep 09 02:53:17 UTC 2023","Sat Sep 09 02:53:45 UTC 2023","28683","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Sep 09 03:56:03 UTC 2023","Sat Sep 09 03:56:06 UTC 2023","2611","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sat Sep 09 02:37:41 UTC 2023","Sat Sep 09 02:37:45 UTC 2023","4090","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Sep 09 03:36:54 UTC 2023","Sat Sep 09 03:37:10 UTC 2023","15480","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Sep 09 02:19:48 UTC 2023","Sat Sep 09 02:20:39 UTC 2023","50946","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Sep 09 02:28:57 UTC 2023","Sat Sep 09 02:29:18 UTC 2023","20989","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Sep 09 02:26:11 UTC 2023","Sat Sep 09 02:26:18 UTC 2023","7642","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Sep 09 03:58:10 UTC 2023","Sat Sep 09 03:59:03 UTC 2023","52810","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Sep 09 02:17:06 UTC 2023","Sat Sep 09 02:17:28 UTC 2023","22026","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Sep 09 02:35:28 UTC 2023","Sat Sep 09 02:35:46 UTC 2023","18170","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
